proposal_id,proposal_types,result,reduction_amount,freeze_amount,reason,description,frozen_status,frozen_history,frozen_report,budget_image_url,historical_proposals,historical_parent_proposal,merged_proposals,merged_parent_proposal,year,government_name,government_category,meetings,proposers,co_signers,budget_id,budget_project_name,budget_project_description,budget_major_category,budget_medium_category,budget_minor_category,budget_amount,last_synced_at
11634,凍結,通過,,1000000,"115年度交通部預算第6目「都市大眾捷運系統建設計畫」編列81億5,163萬4千元，凍結100萬元，俟交通部向立法院交通委員會提出書面報告後，始得動支。【116、117】",,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-7e1341137d2a8aa57a42c60259721216.jpg,,,,,115,交通部,交通部,2026/5/11,林俊憲|許智傑|徐富癸,,5474,,,都市大眾捷運系統建設計畫,,,8151634000,2026-08-22T13:30:11.160Z
11635,主決議,通過,,,115年度交通部預算第2目「一般行政」項下「人員維持」中「人事費」之「政務人員待遇」編列740萬9千元。經查，交通部作為國家交通政策之最高主管機關，其相關官方或代表性之對外社群媒體與溝通平台，理應作為廣納民意、宣導政策及促進公共討論之重要管道。然近期迭有民眾反映，於相關平台提出交通政策建言或參與討論時，屢遭管理者予以封鎖或限制發言。此舉恐限縮公眾參與政策討論之空間，亦不利於行政機關與民眾之雙向溝通，有違開放政府傾聽民意之精神。為確保交通部對外溝通管道暢通，並維護民眾理性表達意見之參與空間，爰要求交通部針對「社群平台與公眾溝通管理機制之檢討與精進作為」，於3個月內向立法院交通委員會提出書面報告。【118】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-ae626e61f00d5ea2fe265dc0555fad33.jpg,,,,,115,交通部,交通部,2026/5/11,邱若華|黃健豪|游顥,,5475,,,一般行政,人員維持,人事費 > 政務人員待遇,7409000,2026-08-22T13:30:11.160Z
11636,主決議,通過,,,有關電動商用車購車補助政策尚未納入115年度預算一案，據悉該政策雖已獲行政院核定，惟因預算編列時程因素，未及納入115年度預算，將改列116年度預算辦理。查政府為扶植本土電動車產業，經濟部已投入資源支持國內業者進行在地研發與驅動技術升級，期望能打造電動車生態系並進一步拓展全球市場。國內企業亦積極響應，成功自主開發出「全新3.5T電動車平台」與「ADAS電動商用車動力模組」等關鍵技術與新車型。然國內車廠耗費鉅資將全新電動商用車研發上市之際，交通部端之購車補助預算卻未能於115年度及時編列與銜接，導致前端有經濟部研發補助，後端卻缺乏交通部購車補助誘因，使本土電動商用車一推出即面臨銷售停滯之市場困境。若政府部會間缺乏橫向政策整合，恐令國內車廠前期投入之研發心血付諸流水，不僅無助於本土電動車生態系之建立，更遑論達成拓展全球市場之宏大目標。為避免中央部會政策步調不一而扼殺本土產業發展，建請交通部儘速會同經濟部等相關部會，針對電動商用車之購車補助政策提出具體之財務銜接方案、啟動時程及補助條件，並明確承諾將115年度原應編列之購車補助經費，全數合併納入116年度預算中統籌辦理，以實質補足政策空窗期、扶植國內電動商用車之內需市場與研發動能，並於3個月內向立法院交通委員會提出書面報告。【119】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-19b58b10f77a48af2b67dbcb937fbfaf.jpg,,,,,115,交通部,交通部,2026/5/11,邱若華|黃健豪|游顥,,,,,,,,,2026-08-22T13:30:11.160Z
11637,主決議,通過,,,有關電動貨車購車補助政策尚未納入115年度預算一案，據悉該政策雖已獲行政院核定，惟因預算編列時程因素，未及納入115年度預算，將改列116年度預算辦理。惟電動貨車推廣攸關我國2050淨零排放路徑、運輸部門減碳、城市空氣品質改善及商用車輛低碳轉型。貨運車輛使用頻率高、行駛里程長，若能加速導入電動化，不僅有助於降低運輸部門碳排與空氣污染，亦可帶動充電基礎設施、車輛製造及低碳物流服務發展。補助政策如未及時銜接，恐使商用車電動化推動出現政策空窗，影響淨零轉型節奏及產業投資預期。為避免補助政策延宕影響我國達成2050淨零排放路徑、運輸部門減碳及商用車電動化推動，建請交通部儘速研議電動貨車購車補助政策之啟動時程、補助對象、補助額度、申請條件、可行財源及後續預算銜接規劃，並提供具體說明，以利政策推動、市場銜接及低碳運輸轉型，並於3個月內向立法院交通委員會提出書面報告。【120】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-c42a73fe782bb85213410edb1c341f07.jpg,,,,,115,交通部,交通部,2026/5/11,洪孟楷|邱若華|黃健豪,,,,,,,,,2026-08-22T13:30:11.160Z
11638,主決議,通過,,,鑑於淡海輕軌二期計畫攸關淡水新市鎮後續發展、淡水及沙崙地區公共運輸服務品質、漁人碼頭觀光接駁功能，並涉及未來淡江大橋通車後淡水、八里及北海岸地區整體路網銜接與交通分流。為利掌握計畫推動進度，避免淡水地區假日壅塞、轉乘不足及觀光人潮集中等問題持續惡化，並確保淡海輕軌既有路網與後續延伸計畫發揮整體運輸效益，爰要求交通部會同新北市政府及相關單位，就淡海輕軌二期計畫之路線規劃、工程期程、經費估算、中央與地方分工、用地及工程介面、與淡江大橋及周邊公路系統之轉乘銜接、觀光接駁配套、預期運量及營運效益等事項進行通盤檢討，並於3個月內向立法院交通委員會提出書面報告。【121】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-910d255ae079667d8c73fb7e0e9f966e.jpg,,,,,115,交通部,交通部,2026/5/11,洪孟楷|邱若華|黃健豪,,,,,,,,,2026-08-22T13:30:11.160Z
11639,主決議,通過,,,針對交通部近年推動「人本交通」相關法規(如：行人路權與車牌爭議)，多次發生交通部公布標準後，第一線執法之內政部警政署表示難以執行，或雙方對法規解釋(如：距離行人幾公尺需停讓)不一，導致基層員警與用路人無所適從，嚴重損害政府公信力。爰要求交通部應與內政部警政署建立「交通法規執行評估小組」，凡涉及重大處罰標準變更，應於公告前完成執法可行性評估，並於3個月內向立法院交通委員會提出書面報告。【122】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-4986550844b97f402cb4b45de0640cae.jpg,,,,,115,交通部,交通部,2026/5/11,洪孟楷|邱若華|陳雪生,,,,,,,,,2026-08-22T13:30:11.160Z
11640,主決議,通過,,,有鑑於桃園地區通勤族眾多，沿線車站(如內壢)電梯設備相對老舊、動線狹窄，對身障及高齡民眾較不友善。爰要求交通部會同國營臺灣鐵路股份有限公司於115年度內全面清查桃園轄內二等站以上之無障礙設施設置情形，並優先投入預算優化動線銜接，提升民眾通勤品質。【123】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-5f45fd2db36185d67d5404a1e023a6b3.jpg,,,,,115,交通部,交通部,2026/5/11,洪孟楷|邱若華|陳雪生,,,,,,,,,2026-08-22T13:30:11.160Z
11641,主決議,通過,,,桃園鐵路地下化計畫目前進入施工高峰期，特別是行經中壢與八德交界處之工程，大規模開挖對鄰近住宅區造成噪音、震動及地盤下陷風險。爰要求交通部應加強監測數據透明化，並於3個月內針對「桃園段施工風險評估與減噪措施」向立法院交通委員會提出書面報告。【124】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-4874e94cf87c6400eda207dcd41559d1.jpg,,,,,115,交通部,交通部,2026/5/11,洪孟楷|邱若華|陳雪生,,,,,,,,,2026-08-22T13:30:11.160Z
11642,主決議,通過,,,桃園國際機場第三航廈完工後預計將引入龐大車流與物流，恐加重國道2號及大溪、八德聯外道路負擔。爰要求交通部應針對「桃園國際機場第三航廈啟用對桃園市區交通衝擊之配套計畫」進行專案評估，強化桃園國際機場與八德、大溪間的客運接駁密度，避免因機場發展導致地方交通癱瘓。【125】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-c5b3d57c728f75c07cefc38023388d42.jpg,,,,,115,交通部,交通部,2026/5/11,洪孟楷|邱若華|陳雪生,,,,,,,,,2026-08-22T13:30:11.160Z
11643,主決議,通過,,,"屏南快速道路是屏東的救命路，國家發展委員會於114年通過交通部公路局提出的屏南快速道路可行性研究，經潮州、新埤、枋寮、枋山、獅子、海口及車城共8處交流道，長度約65.55公里，預估工程經費達1,744億元。115年2月通過第一階段環評後，公路局南區公路新建工程分局啟動第二階段環評程序，並分別於各鄉鎮舉辦說明會，二階環評期程預估最快1年半至2年。然目前屏南快最快預計至民國121年才能動工，枋寮至楓港段更要等到126年通車，規劃與環評期程過長引發民怨，交通部應將現行規劃之3段路程同時環評、綜合規劃，並對於細部設計及用地取得等程序預先做規劃，以利儘早縮短工期，並於2個月內向立法院交通委員會提出書面報告。【126】",,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-4df22383be1743bf3914666462ac3a19.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|許智傑|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11644,主決議,通過,,,高鐵延伸至屏東，屏東縣政府已爭取近二十年，交通部於108年9月27日拍板高鐵延伸屏東路線採左營案，從現行高雄左營站往北，再往東延伸至屏東六塊厝，全長約17.5公里；行政院109年12月10日同意辦理綜合規劃，交通部鐵道局110年辦理綜合規劃及可行性評估。計畫經環境部115年1月21日環境影響評估審查委員會議決議進入二階環評，已於115年3月9日、10日分別於屏東縣及高雄市辦理公開說明會。後續俟環境影響評估經環境部審查同意通過，即將綜合規劃陳報行政院。高鐵延伸至屏東係完善屏東交通發展的關鍵拼圖，係均衡台灣、交通平權的重要一環。然環評過程中仍屢遭質疑高鐵南延之必要性與經濟效益，亦有質疑認為屏東交通建設案多，交通路網密集，是否有其必要性，交通部應提出完整說明，以明示高鐵南延屏東對於區域發展之重要性。並於2個月內向立法院交通委員會提出書面報告。【127】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-f9ea001d93b5997c1a21c72aec6cebe3.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|許智傑|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11645,主決議,通過,,,中華郵政股份有限公司辦理「郵務機構送達訴訟文書」及「郵務機構送達行政文書及行政訴訟文書」作業，經查中華郵政之「郵務送達通知書」，若所送郵件屬民事訴訟文書，會於通知書上載明「訴訟文書」並提醒民眾至警察機關領取，辨識度較高。然而，若所送郵件為行政文書(如行政機關之處分、通知)或行政訴訟文書(由行政法院寄發)，現行實務多僅概括標示「行政/行政訴訟文書」，雖同樣提醒民眾至郵局領取，但因通知書上未明確區隔所送郵件究為一般行政機關之文書或法院之行政訴訟文書，導致民眾接獲通知時，無法判斷案件性質與嚴重性，徒增民眾困擾與不必要之恐慌，甚或影響後續法律權益之主張。爰請交通部督導中華郵政股份有限公司，儘速改善「郵務送達通知書」之版面設計與標示方式，應明確分列並清楚載明所送文書類型為「行政文書」或「行政訴訟文書」，以利民眾明確辨識、減少誤解與焦慮，落實便民服務精神，並於2個月內向立法院交通委員會提出書面報告。【128】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-799edaceeb793148675376a906bf1f73.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|李昆澤|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11646,主決議,通過,,,隨著車輛科技發展，主動式車距調節巡航(ACC)及車道維持輔助(LKA)等先進駕駛輔助系統(ADAS)已逐漸普及。然查，因各車廠對於輔助系統之命名不一，且部分業者說明不足，導致消費者難以充分瞭解系統性能與限制，往往混淆「輔助駕駛」與「自動駕駛」之差異，因誤用、過度信賴系統而衍生之國道追撞緩撞車等交通事故頻傳。復查，現行駕駛人教育訓練與宣導內容，未能追上車輛科技演進之速度，致使駕駛人對於新興科技缺乏正確認知。為避免駕駛人因未諳系統特性而釀災，相關安全觀念之建立刻不容緩。爰建請交通部正視科技執法與車輛安全科技之變革，研議將輔助駕駛系統之運作原理與使用限制納入現行駕訓班之教學教材及學科筆試題庫，透過教育端強化駕駛人對於科技輔助之正確觀念。同時，應督導車輛製造商及租賃業者，於銷售或出租車輛時，負起更積極之教育宣導責任，並透過多元管道加強對現有駕駛人之道安宣導，強調「輔助駕駛並非自動駕駛」之核心觀念，以確保道路交通安全，並於2個月內向立法院交通委員會提出書面報告。【129】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-637712e68aadd2bdc504f15bcb8948e6.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|李昆澤|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11647,主決議,通過,,,交通部積極推動「行人優先交通安全行動綱領」，然查114年1至9月行人死亡人數達263人，較113年同期增加4%，且整體交通事故死亡降幅未達「每年下降7%」之關鍵績效指標。經進一步分析，隨著路口停讓文化建立，路口事故雖有下降，但「路段」行人死亡事故卻不降反升，且高齡者占比高達55.6%；肇因更以「恍神緊張」(24.3%)及「未依規定穿越」(16.2%)為大宗。此顯示現行道路環境對於行人(特別是長者)在路段中之導引不足，或因缺乏實體區隔設施致使違規穿越頻傳。爰建請交通部針對「路段」行人安全進行專案檢討，不應僅依賴教育宣導，應責成交通部公路局並督導各縣市政府，全面檢視高風險路段，優先採行工程改善手段(如增設實體分隔設施防止違規穿越、加強夜間照明、增設路段中段穿越設施等)，以有效降低路段行人傷亡，並於2個月內向立法院交通委員會提出書面報告。【130】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-7987d03380197034dd607f10398cdc1a.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|李昆澤|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11648,主決議,通過,,,臺鐵、高鐵及捷運為我國重要交通設施，其工作人員多以無線電作為聯繫工具，但115年4月初，高鐵發生有1名大學生擅自盜接高鐵無線電頻道，並觸動告警，導致高鐵緊急停車，雖未發生人員傷亡，但高鐵、臺鐵及捷運為高速行駛並有大量民眾搭乘的大眾運輸工具，如遭有心人士入侵頻道並發送錯誤訊息，恐導致嚴重交通事故，為保護大眾交通安全，爰建請交通部應全面盤點軌道運輸之無線電通訊防盜機制及資通訊安全，就無線電系統設備、汰換年限、保管方式、安全防護參數更新頻率等防護措施重新檢視，並於3個月內向立法院交通委員會提出書面報告。【131】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-6a205fb9be6ab6e00018c48d9bedfa5e.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|李昆澤|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11649,主決議,通過,,,交通部公告自115年5月1日起實施高齡駕駛人換照制度，換照年齡下修至70歲，而按照國家發展委員會我國人口比例推算，70至74歲人口約有128萬人，雖交通部有規劃分梯次通知駕駛人換照，然事前宣導仍有未盡之處，亦有許多民眾不了解新換照制度。爰建請交通部應強化換照新制宣導，配合該年齡層之國人習慣，如結合鄉土劇內政策宣導，或鼓勵更換大眾交通工具如TPASS之優惠，以鼓勵引導之方式替代懲罰，並同步對70歲以下之駕駛人宣導換照之政策，以利未來屆齡時充分了解換照之流程或評估繳回之優勢，以促進我國交通駕駛習慣之提升，並於1個月內向立法院交通委員會提出書面報告。【132】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-b22a10f5591fef82d31ccdbe8b752a9d.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|李昆澤|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11650,主決議,通過,,,"毒品濫用問題逐漸影響交通安全，毒駕不僅危及駕駛人自身，更嚴重威脅其他用路人之生命財產安全。據審計部113年度中央政府總決算審核報告指出，毒駕案件數由112年1至9月為119件，遽增至113年1至9月達1,823件，顯見毒駕案件近年呈現增加之勢，已成交通安全隱憂。為緩解第一線稽查警察問題，交通部與內政部警政署114年11月提出使用毒品唾液快篩制度，建請交通部應強化與內政部警政署精進該毒品唾液快篩檢測準確度，及可快篩之毒品種類，以便即早發現毒駕之行為，避免產生重大交通事故，保障人民行車安全，並於2個月內向立法院交通委員會提出書面報告。【133】",,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-a1f457993043481e03485db9804d67fc.jpg,,,,,115,交通部,交通部,2026/5/11,何欣純|李昆澤|徐富癸,,,,,,,,,2026-08-22T13:30:11.160Z
11651,主決議,通過,,,查交通部因應行政院公布「臺灣總體減碳行動計畫」，提出「商用車輛電動化及無碳化減碳旗艦行動計畫」，將運具轉型範疇擴大至電動商用小客車、電動大小貨車、氫燃料電池大客車等，以期降低運輸部門碳排放。其中，交通部訂有電動小貨車「2030年普及率5%」之目標，惟截至2025年底，電動小貨車計789輛，普及率僅0.08%，距離5%之短期目標仍有大幅進步空間。爰此，要求交通部儘速推動鼓勵汰換電動小貨車之誘因，並加強與經濟部合作推出國產電動小貨車，儘早實現運具無碳化之目標。【134】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-8ada722b271be8418fcbebaa3d9f5f80.jpg,,,,,115,交通部,交通部,2026/5/11,陳素月|林俊憲|李昆澤,,,,,,,,,2026-08-22T13:30:11.160Z
11652,主決議,通過,,,"鑑於114年臺北車站發生無差別攻擊事件，該事件對現場及周遭民眾安全造成重大威脅。然依現行細胞廣播服務(Cell Broadcast Service,CBS)發布權限規範，交通相關單位僅限於交通部中央氣象署及交通部公路局有權發布，致使事發當下臺北大眾捷運股份有限公司、國營臺灣鐵路股份有限公司及台灣高速鐵路股份有限公司等鐵路機構，無法即時透過CBS向車站周邊旅客及民眾發布警示訊息，以協助疏散人潮並提升民眾警覺。爰此，要求交通部儘速研議放寬CBS發布權限之可行性，授權各鐵路及大眾運輸系統於重大緊急事件發生時，得以發布警示訊息機制，並建立明確之管理規範，以強化公共運輸場域之安全應變能力，確保民眾生命財產安全。【135】",,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-b5023e7612e5999132dd8f516c771fd8.jpg,,,,,115,交通部,交通部,2026/5/11,陳素月|林俊憲|李昆澤,,,,,,,,,2026-08-22T13:30:11.160Z
11653,主決議,通過,,,因應立法院預算審查時程，交通部各項補助、建設等預算撥款執行受影響，為降低影響狀況，爰要求交通部應就受影響之重要預算提前因應，並作好撥款準備，以利後續時程掌握，降低影響。【136】,,,,,https://lydata.ronny-s3.click/agenda-pic/LCIDC01_1154001_00006.doc-ffc6a4930a4ba0cd3015a641b632035b.jpg,,,,,115,交通部,交通部,2026/5/11,陳素月|林俊憲|李昆澤,,,,,,,,,2026-08-22T13:30:11.160Z
